agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
SARSA,1,61,-263.8999999999982,0.0821428571428571,5801.0,28.0
SARSA,1,62,-262.1999999999982,0.049999999999999954,5835.0,34.0
SARSA,1,63,-260.29999999999825,0.059374999999999956,5867.0,32.0
SARSA,1,64,-258.1999999999982,0.06999999999999997,5897.0,30.0
SARSA,1,65,-256.0999999999982,0.06999999999999997,5927.0,30.0
SARSA,1,66,-253.89999999999822,0.0758620689655172,5956.0,29.0
SARSA,1,67,-251.79999999999822,0.06999999999999997,5986.0,30.0
SARSA,1,68,-249.69999999999823,0.06999999999999997,6016.0,30.0
SARSA,1,69,-247.89999999999822,0.0545454545454545,6049.0,33.0
SARSA,1,70,-245.79999999999822,0.06999999999999997,6079.0,30.0
